index,token
1520,파랑
1521,충혈
1522,무지개
1523,분홍
1524,회색
1525,차량번호판
1526,느리다
1527,전자기기
1528,간단하다
1529,사기
1530,너
1531,저
1532,너희
1533,세배
1534,네배
1535,다섯배
1536,여섯배
1537,일곱배
1538,여덟배
1539,아홉배
1540,열배
1541,귀
1542,눈썹
1543,치아
1544,이마
1545,볼
1546,목
1547,덥다
1548,미소
1549,충무로
1550,종각
1551,이화여자대학교
1552,종로3가
1553,종로5가
1554,을지로
1555,을지로3가
1556,을지로4가
1557,삼성
1558,강남구청
1559,강북
1560,강서
1561,까치산
1562,발산
1563,김포
1564,양천
1565,공항시장
1566,관악
1567,아차산
1568,어린이대공원
1569,금천
1570,독산
1571,금천구청
1572,노원
1573,도봉산
1574,청량리
1575,동대문
1576,동작
1577,노량진
1578,마포
1579,홍익대학교
1580,서대문
1581,남부터미널
1582,성동
1583,왕십리
1584,서울숲
1585,성북
1586,고려대학교
1587,종합운동장
1588,올림픽공원
1589,영등포시장
1590,용산
1591,신용산
1592,이태원
1593,광화문
1594,남대문시장
1595,광주
1596,구리
1597,남양주
1598,성남
1599,하남
1600,과천
1601,서울대공원
1602,광명
1603,군포
1604,부천
1605,시흥
1606,양평
1607,안산
1608,안양
1609,안양대학교
1610,수원
1611,안성
1612,중앙대학교
1613,용인
1614,강남대학교
1615,에버랜드
1616,용인대학교
1617,한국민속촌
1618,평택
1619,화성
1620,고양
1621,동두천
1622,양주
1623,연천
1624,파주
1625,포천
1626,가족
1627,전염
1628,운전면허갱신
1629,차량점검
1630,경주
1631,이모
1632,고모
1633,운전면허
1634,골키퍼
1635,구경
1636,성토
1637,권투
1638,그립다
1639,키우다
1640,힘
1641,꿈
1642,낚시
1643,남매
1644,운전면허정지
1645,노래
1646,놀다
1647,누나
1648,울보
1649,여동생
1650,상처
1651,견제하다
1652,견문
1653,딸
1654,유도
1655,아내
1656,마라톤
1657,장녀
1658,원한
1659,썩다
1660,바쁘다
1661,남편
1662,버릇
1663,병
1664,밥
1665,부부
1666,붓다
1667,빗
1668,생활
1669,성공
1670,세수
1671,수영
1672,승부차기
1673,시아버지
1674,망신
1675,시집
1676,뚫다
1677,면박
1678,야구
1679,피곤
1680,양치
1681,오빠
1682,출장
1683,이사
1684,들추어내다
1685,아들딸
1686,자살
1687,8번째
1688,맏형
1689,테니스
1690,할머니
1691,할아버지
1692,조상
1693,조카
1694,연기
1695,치매
1696,탈
1697,형
1698,환자
1699,시작
1700,밖
1701,먹칠하다
1702,시험
1703,고백
1704,관계
1705,논란
1706,교제
1707,구걸
1708,부탁
1709,글
1710,대기
1711,회사
1712,거슬리다
1713,단어
1714,심부름
1715,상담
1716,다리
1717,창피하다
1718,달서구주민지원센터
1719,동구지부
1720,동구수어통역센터
1721,동구주민지원센터
1722,수성구지부
1723,수성구수어통역센터
1724,수성구주민지원센터
1725,인천광역시농아인협회
1726,강화군지부
1727,강화군수어통역센터
1728,강화군주민지원센터
1729,연수구지부
1730,연수구수어통역센터
1731,연수구주민지원센터
1732,대전농아인협회
1733,대덕구지부
1734,대덕수어통역센터
1735,대덕구주민지원센터
1736,유성구지부
1737,유성구수어통역센터
1738,유성구주민지원센터
1739,광주광역시농아인협회
1740,광산구지부
1741,광산구주민지원센터
1742,남구지부
1743,남구수어통역센터
1744,남구주민지원센터
1745,관계없다
1746,상관없다
1747,울산광역시농아인협회
1748,세종특별자치시농아인협회
1749,경기농아인협회
1750,가평군지부
1751,가평군수어통역센터
1752,가평군주민지원센터
1753,고양시지부
1754,고양시수어통역센터
1755,고양시청
1756,과천시지부
1757,과천시수어통역센터
1758,광명시지부
1759,광명시수어통역센터
1760,광명시청
1761,광주시지부
1762,광주시수어통역센터
1763,광주시청
1764,구리시지부
1765,구리시수어통역센터
1766,구리시청
1767,군포시지부
1768,군포시수어통역센터
1769,김포시지부
1770,김포시수어통역센터
1771,김포시청
1772,남양주시지부
1773,남양주시수어통역센터
1774,남양주시청
1775,동두천시지부
1776,동두천시수어통역센터
1777,동두천시청
1778,부천시지부
1779,부천시수어통역센터
1780,부천시청
1781,성남시지부
1782,성남시수어통역센터
1783,성남시청
1784,안성시지부
1785,안성시수어통역센터
1786,안성시청
1787,안양시지부
1788,안양시수어통역센터
1789,안양시청
1790,양주시지부
1791,양주시수어통역센터
1792,양주시청
1793,양평군지부
1794,양평군수어통역센터
1795,양평군주민지원센터
1796,여주시지부
1797,여주시수어통역센터
1798,여주시청
1799,연천군지부
1800,연천군수어통역센터
1801,연천군주민지원센터
1802,오산시지부
1803,오산시수어통역센터
1804,오산시시청
1805,하남시지부
1806,고성시수어통역센터
1807,양양군주민지원센터
1808,철원군지부
1809,철원군수어통역센터
1810,춘천시청
1811,한눈팔다
1812,화천군지부
1813,화천군주민지원센터
1814,단양군지부
1815,단양군수어통역센터
1816,단양군주민지원센터
1817,보은군수어통역센터
1818,영동군지부
1819,천안시수어통역센터
1820,천안시청
1821,공주시수어통역센터
1822,9번째
1823,10번째
1824,12번째
1825,논산시청
1826,보령수어통역센터
1827,서산시수어통역센터
1828,서천군주민지원센터
1829,아산시지부
1830,예산군지부
1831,청양군주민지원센터
1832,전북농아인협회
1833,고창군수어통역센터
1834,익산시지부
1835,빈털터리
1836,평가하다
1837,전주시지부
1838,고흥군지부
1839,곡성군지부
1840,곡성군수어통역센터
1841,곡성군주민지원센터
1842,무안군지부
1843,보성군수어통역센터
1844,보성군주민지원센터
1845,순천시지부
1846,영광군지부
1847,영광군수어통역센터
1848,영암군지부
1849,영암군수어통역센터
1850,불필요
1851,장흥군수어통역센터
1852,해남군지부
1853,해남군수어통역센터
1854,해남군주민지원센터
1855,경북농아인협회
1856,경산시수어통역센터
1857,경산시청
1858,경주시지부
1859,경주시수어통역센터
1860,경주시청
1861,구미시수어통역센터
1862,군위주민지원센터
1863,김천시지부
1864,김천시수어통역센터
1865,문경시지부
1866,문경시수어통역센터
1867,문경시청
1868,봉화군수어통역센터
1869,상주시수어통역센터
1870,상주시청
1871,안동시청
1872,영덕군수어통역센터
1873,영주시청
1874,영천시지부
1875,영천시수어통역센터
1876,영천시청
1877,예천군지부
1878,예천군수어통역센터
1879,울릉군수어통역센터
1880,울진군수어통역센터
1881,울진군주민지원센터
1882,의성군주민지원센터
1883,청송군수어통역센터
1884,칠곡군수어통역센터
1885,금시초문
1886,중도포기
1887,지식인
1888,충격
1889,며느리
1890,피해자
1891,사고력
1892,아름답다
1893,반드시
1894,한국인
1895,안색
1896,어른
1897,외동딸
1898,외아들
1899,조용하다
1900,집요
1901,청년
1902,청소년
1903,타인
1904,기민하다
1905,기지
1906,잔소리
1907,무산
1908,무념무상
1909,추측
1910,노인
1911,파헤치다
1912,지혜
1913,신문
1914,목마르다
1915,이력
1916,몸무게
1917,일반인
1918,특기
1919,발각
1920,성냥불
1921,구분
1922,간
1923,걸음걸이
1924,계획
1925,일부러
1926,고인
1927,동의
1928,새파래지다
1929,관광
1930,태만
1931,긍정적
1932,기발
1933,여행자
1934,가엾다
1935,아둔하다
1936,말솜씨
1937,사색
1938,체형
1939,무기력
1940,무분별
1941,미성년
1942,반성하다
1943,변화
1944,변천
1945,갑부
1946,불성실
1947,불친절
1948,사내
1949,성품
1950,소외감
1951,소지자
1952,솜씨
1953,솔직하다
1954,허약자
1955,엉뚱
1956,예견
1957,야망
1958,얼굴형
1959,울음소리
